name,area,postcode,suburb
Gresswell Forest (Part A) Nature Conservation Reserve,4.887,3085,Macleod
Gresswell Forest (Part B) Nature Conservation Reserve,58.45,3085,Macleod
Gresswell Forest (Part A) Nature Conservation Reserve,4.887,3085,Macleod
Gresswell Hill Nature Conservation Reserve,8.901,3085,Macleod
Bunyip State Park,16646.352,3783,Gembrook
Lang Lang Bushland Reserve,11.356,3984,Caldermeade
Lang Lang Bushland Reserve,11.356,3984,Lang Lang
Lang Lang Bushland Reserve,11.356,3984,Monomeith
Western Port Coastal Reserve (Com),717.492,3984,Caldermeade
Western Port Coastal Reserve (Com),717.492,3984,Lang Lang
Western Port Coastal Reserve (Com),717.492,3984,Monomeith
Adams Creek Nature Conservation Reserve,418.14,3984,Caldermeade
Adams Creek Nature Conservation Reserve,418.14,3984,Lang Lang
Adams Creek Nature Conservation Reserve,418.14,3984,Monomeith
Western Port Coastal Reserve (Com),717.492,3984,Caldermeade
Western Port Coastal Reserve (Com),717.492,3984,Lang Lang
Western Port Coastal Reserve (Com),717.492,3984,Monomeith
National Water Sports Centre,49.462,3175,Bangholme
National Water Sports Centre,49.462,3175,Dandenong
National Water Sports Centre,49.462,3175,Dandenong North
National Water Sports Centre,49.462,3175,Dandenong South
Yarra Ranges National Park,77240.895,3779,Cambarville
Yarra Ranges National Park,77240.895,3779,Marysville
Lower Maribyrnong Parklands,124.384,3040,Aberfeldie
Lower Maribyrnong Parklands,124.384,3040,Essendon
Lower Maribyrnong Parklands,124.384,3040,Essendon West
Lower Maribyrnong Parklands,124.384,3040,Aberfeldie
Lower Maribyrnong Parklands,124.384,3040,Essendon
Lower Maribyrnong Parklands,124.384,3040,Essendon West
Kirton Bushland Reserve,3.546,3931,Mornington
Mornington Pier And Jetty,1.766,3931,Mornington
Fossil Beach Geological Reserve,19.982,3931,Mornington
Port Phillip Bay Coastal Reserve (Com),600.076,3931,Mornington
Port Phillip Bay Coastal Reserve (Com),600.076,3931,Mornington
Port Phillip Bay Coastal Reserve (Com),600.076,3931,Mornington
Port Phillip Bay Coastal Reserve (Com),600.076,3931,Mornington
Port Phillip Bay Coastal Reserve (Com),600.076,3931,Mornington
Yarra Ranges National Park,77240.895,3778,Fernshaw
Yarra Ranges National Park,77240.895,3778,Kinglake West
Yarra Ranges National Park,77240.895,3778,Narbethong
Yarra Ranges National Park,77240.895,3778,Fernshaw
Yarra Ranges National Park,77240.895,3778,Kinglake West
Yarra Ranges National Park,77240.895,3778,Narbethong
Merri Creek Park,59.292,3075,Lalor
Bunyip State Park,16646.352,3783,Gembrook
Werribee Park,159.664,3030,Cocoroc
Werribee Park,159.664,3030,Point Cook
Werribee South Jetty,0.157,3030,Cocoroc
Werribee South Jetty,0.157,3030,Point Cook
Maribyrnong Valley Parklands (Com),22.162,3036,Keilor
Maribyrnong Valley Parklands (Com),22.162,3036,Keilor North
Maribyrnong Valley Parklands,329.908,3036,Keilor
Maribyrnong Valley Parklands,329.908,3036,Keilor North
Maribyrnong Valley Parklands,329.908,3036,Keilor
Maribyrnong Valley Parklands,329.908,3036,Keilor North
Maribyrnong Valley Parklands,329.908,3036,Keilor
Maribyrnong Valley Parklands,329.908,3036,Keilor North
Maribyrnong Valley Parklands (Com),22.162,3036,Keilor
Maribyrnong Valley Parklands (Com),22.162,3036,Keilor North
Maribyrnong Valley Parklands (Com),22.162,3036,Keilor
Maribyrnong Valley Parklands (Com),22.162,3036,Keilor North
Maribyrnong Valley Parklands,329.908,3036,Keilor
Maribyrnong Valley Parklands,329.908,3036,Keilor North
Maribyrnong Valley Parklands,329.908,3036,Keilor
Maribyrnong Valley Parklands,329.908,3036,Keilor North
Maribyrnong Valley Parklands,329.908,3036,Keilor
Maribyrnong Valley Parklands,329.908,3036,Keilor North
Arthurs Seat State Park,566.061,3939,Boneo
Arthurs Seat State Park,566.061,3939,Cape Schanck
Arthurs Seat State Park,566.061,3939,Fingal
Arthurs Seat State Park,566.061,3939,Rosebud
Port Phillip Bay Coastal Reserve (Com),600.076,3939,Boneo
Port Phillip Bay Coastal Reserve (Com),600.076,3939,Cape Schanck
Port Phillip Bay Coastal Reserve (Com),600.076,3939,Fingal
Port Phillip Bay Coastal Reserve (Com),600.076,3939,Rosebud
Rosebud Pier,0.812,3939,Boneo
Rosebud Pier,0.812,3939,Cape Schanck
Rosebud Pier,0.812,3939,Fingal
Rosebud Pier,0.812,3939,Rosebud
Rosebud Depot,1.482,3939,Boneo
Rosebud Depot,1.482,3939,Cape Schanck
Rosebud Depot,1.482,3939,Fingal
Rosebud Depot,1.482,3939,Rosebud
Rosebud Recreation And Bushland Reserve,64.665,3939,Boneo
Rosebud Recreation And Bushland Reserve,64.665,3939,Cape Schanck
Rosebud Recreation And Bushland Reserve,64.665,3939,Fingal
Rosebud Recreation And Bushland Reserve,64.665,3939,Rosebud
Port Phillip Bay Coastal Reserve (Com),600.076,3030,Cocoroc
Port Phillip Bay Coastal Reserve (Com),600.076,3030,Point Cook
Werribee Park,159.664,3030,Cocoroc
Werribee Park,159.664,3030,Point Cook
Werribee Regional Park,274.387,3030,Cocoroc
Werribee Regional Park,274.387,3030,Point Cook
Werribee Regional Park,274.387,3030,Cocoroc
Werribee Regional Park,274.387,3030,Point Cook
Werribee Regional Park,274.387,3030,Cocoroc
Werribee Regional Park,274.387,3030,Point Cook
Lerderderg State Park,20524.265,3340,Balliang
Lerderderg State Park,20524.265,3340,Balliang East
Lerderderg State Park,20524.265,3340,Coimadai
Lerderderg State Park,20524.265,3340,Hopetoun Park
Lerderderg State Park,20524.265,3340,Long Forest
Lerderderg State Park,20524.265,3340,Parwan
Lerderderg State Park,20524.265,3340,Quandong
Yangardook Bushland Reserve,48.928,,
Organ Pipes National Park,153.666,3427,Diggers Rest
Jacksons Creek Streamside Reserve,10.314,3427,Diggers Rest
Kororoit Creek K37 Streamside Reserve,12.686,3427,Diggers Rest
Nillumbik G139 Bushland Reserve,1.093,3089,Diamond Creek
Ironbark Road Nature Conservation Reserve,1.858,3089,Diamond Creek
Diamond Creek Bushland Reserve,0.733,3089,Diamond Creek
Watery Gully Creek Natural Features Reserve,10.206,3096,Wattle Glen
Watery Gully Creek Natural Features Reserve,10.206,3096,Wattle Glen
Watery Gully Creek Natural Features Reserve,10.206,3096,Wattle Glen
Cranbourne Wetlands Nature Conservation Reserve,24.968,3975,Lynbrook
Cranbourne Wetlands Nature Conservation Reserve,24.968,3975,Lyndhurst
Cranbourne Wetlands Nature Conservation Reserve,24.968,3975,Lynbrook
Cranbourne Wetlands Nature Conservation Reserve,24.968,3975,Lyndhurst
Cannibal Creek Streamside Reserve,23.531,3816,Labertouche
Cannibal Creek Streamside Reserve,23.531,3816,Longwarry
Cannibal Creek Streamside Reserve,23.531,3816,Longwarry North
Cannibal Creek Streamside Reserve,23.531,3816,Modella
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
Cairnlea Estate Nature Conservation Reserve,37.512,3023,Burnside
Cairnlea Estate Nature Conservation Reserve,37.512,3023,Burnside Heights
Cairnlea Estate Nature Conservation Reserve,37.512,3023,Cairnlea
Cairnlea Estate Nature Conservation Reserve,37.512,3023,Caroline Springs
Cairnlea Estate Nature Conservation Reserve,37.512,3023,Deer Park
Cairnlea Estate Nature Conservation Reserve,37.512,3023,Ravenhall
Cairnlea Estate Nature Conservation Reserve,37.512,3023,Burnside
Cairnlea Estate Nature Conservation Reserve,37.512,3023,Burnside Heights
Cairnlea Estate Nature Conservation Reserve,37.512,3023,Cairnlea
Cairnlea Estate Nature Conservation Reserve,37.512,3023,Caroline Springs
Cairnlea Estate Nature Conservation Reserve,37.512,3023,Deer Park
Cairnlea Estate Nature Conservation Reserve,37.512,3023,Ravenhall
Seaford Wetlands Natural Features Reserve,21.02,3198,Seaford
Yellingbo Nature Conservation Area,607.163,3139,Beenak
Yellingbo Nature Conservation Area,607.163,3139,Don Valley
Yellingbo Nature Conservation Area,607.163,3139,Hoddles Creek
Yellingbo Nature Conservation Area,607.163,3139,Launching Place
Yellingbo Nature Conservation Area,607.163,3139,Seville
Yellingbo Nature Conservation Area,607.163,3139,Seville East
Shepherd Creek Natural Features Reserve,16.326,3781,Cockatoo
Shepherd Creek Natural Features Reserve,16.326,3781,Mount Burnett
Shepherd Creek Natural Features Reserve,16.326,3781,Nangana
Kurth Kiln (Addition) Regional Park,4.321,3783,Gembrook
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
Yellingbo Nature Conservation Area,607.163,3139,Beenak
Yellingbo Nature Conservation Area,607.163,3139,Don Valley
Yellingbo Nature Conservation Area,607.163,3139,Hoddles Creek
Yellingbo Nature Conservation Area,607.163,3139,Launching Place
Yellingbo Nature Conservation Area,607.163,3139,Seville
Yellingbo Nature Conservation Area,607.163,3139,Seville East
Sheep Station Creek Nature Conservation Area,87.978,,
Kurth Kiln Regional Park,3464.681,3783,Gembrook
Kurth Kiln Regional Park,3464.681,3783,Gembrook
Kurth Kiln Regional Park,3464.681,3783,Gembrook
Yellingbo Nature Conservation Area,607.163,3139,Beenak
Yellingbo Nature Conservation Area,607.163,3139,Don Valley
Yellingbo Nature Conservation Area,607.163,3139,Hoddles Creek
Yellingbo Nature Conservation Area,607.163,3139,Launching Place
Yellingbo Nature Conservation Area,607.163,3139,Seville
Yellingbo Nature Conservation Area,607.163,3139,Seville East
Yellingbo Nature Conservation Area,607.163,3139,Beenak
Yellingbo Nature Conservation Area,607.163,3139,Don Valley
Yellingbo Nature Conservation Area,607.163,3139,Hoddles Creek
Yellingbo Nature Conservation Area,607.163,3139,Launching Place
Yellingbo Nature Conservation Area,607.163,3139,Seville
Yellingbo Nature Conservation Area,607.163,3139,Seville East
Yellingbo Nature Conservation Area - Lr,41.859,3139,Beenak
Yellingbo Nature Conservation Area - Lr,41.859,3139,Don Valley
Yellingbo Nature Conservation Area - Lr,41.859,3139,Hoddles Creek
Yellingbo Nature Conservation Area - Lr,41.859,3139,Launching Place
