Suburb Name,CrimeScore
ABBEYARD,479.0
ABBOTSFORD,2762.0
ABERFELDIE,2358.0
ABERFELDY,55.0
ACHERON,1093.0
ADA,259.0
ADAMS ESTATE,1305.0
ADDINGTON,479.0
ADELAIDE LEAD,530.0
AGNES,702.0
AINTREE,2412.0
AIREYS INLET,2089.0
AIRLY,1055.0
AIRPORT WEST,2687.0
ALBANVALE,2525.0
ALBERT PARK,2632.0
ALBERTON,1777.0
ALBERTON WEST,1075.0
ALBION,2593.0
ALEXANDRA,2344.0
ALFREDTON,2598.0
ALLAMBEE,567.0
ALLAMBEE RESERVE,1002.0
ALLAMBEE SOUTH,702.0
ALLANS FLAT,1093.0
ALLANSFORD,2133.0
ALLENDALE,1002.0
ALLESTREE,1253.0
ALMA,1336.0
ALMONDS,195.0
ALMURTA,1616.0
ALPHINGTON,2503.0
ALTONA,2659.0
ALTONA MEADOWS,2688.0
ALTONA NORTH,2734.0
ALVIE,1253.0
AMHERST,1161.0
AMOR,55.0
AMPHITHEATRE,1825.0
ANAKIE,2093.0
ANCONA,977.0
ANDERSON,1320.0
ANGLERS REST,890.0
ANGLESEA,2345.0
ANNUELLO,621.0
ANTWERP,1198.0
APOLLO BAY,2331.0
APPIN,1.0
APPIN SOUTH,325.0
APSLEY,1871.0
ARARAT,2714.0
ARAWATA,814.0
ARCADIA,1739.0
ARCADIA SOUTH,1274.0
ARCHDALE,849.0
ARCHDALE JUNCTION,849.0
ARCHERTON,530.0
ARCHIES CREEK,621.0
ARDEER,2505.0
ARDMONA,2131.0
AREEGRA,259.0
ARGYLE,1566.0
ARMADALE,2623.0
ARMSTRONG,1692.0
ARMSTRONG CREEK,2487.0
ARNOLD,1093.0
ARNOLD WEST,377.0
ARTHURS CREEK,1767.0
ARTHURS SEAT,2088.0
ASCOT,2255.0
ASCOT VALE,2755.0
ASHBOURNE,1274.0
ASHBURTON,2602.0
ASHWOOD,2608.0
ASPENDALE,2497.0
ASPENDALE GARDENS,2397.0
ATHLONE,1253.0
ATTWOOD,2301.0
AUBREY,325.0
