stop_id,latitude,stop_name,longitude,ticketzone,routes_using_stop,suburb,postcode
10960,-37.718319,Torbay St/Greensborough Hwy (Macleod),145.08146,2,513,MACLEOD,3085
11016,-37.718029,Torbay St/Greensborough Hwy (Macleod),145.081354,2,513,MACLEOD,3085
11017,-37.721624,Simpson Army Barracks/Greensborough Hwy (Macleod),145.080739,2,513,MACLEOD,3085
11018,-37.723763,Strathallan Rd/Greensborough Hwy (Macleod),145.080423,2,513,MACLEOD,3085
11019,-37.726603,Oban Way/Greensborough Hwy (Macleod),145.079896,2,513,MACLEOD,3085
11020,-37.72947,Erskine Rd/Greensborough Hwy (Macleod),145.079436,2,513,MACLEOD,3085
1922,-37.718007,Thornton St/Highview Cres (Macleod),145.06732,2,561,MACLEOD,3085
1939,-37.719477,Broadford Cres/Glenmore St (Macleod),145.067974,2,561,MACLEOD,3085
1940,-37.722057,Kinlock St/Glenmore St (Macleod),145.068077,2,561,MACLEOD,3085
1941,-37.726428,Macleod Railway Station/McNamara St (Macleod),145.068667,2,561,MACLEOD,3085
1942,-37.727985,Jacka St/Macleod Pde (Macleod),145.065212,2,561,MACLEOD,3085
1943,-37.729668,Ruthven St/Macleod Pde (Macleod),145.062932,2,561,MACLEOD,3085
1944,-37.729444,Waiora Rd/Kingsbury Dr (Bundoora),145.059705,"1,2","561,548",MACLEOD,3085
22282,-37.714818,Ernest Jones Dr/Main Dr (Bundoora),145.060256,"1,2",548,MACLEOD,3085
22283,-37.715553,Main Dr/Springthorpe Bvd (Macleod),145.063334,"1,2",548,MACLEOD,3085
22284,-37.716423,Main Dr/Springthorpe Bvd (Macleod),145.063607,"1,2",548,MACLEOD,3085
22235,-37.7148,Ernest Jones Dr/Main Dr (Bundoora),145.060279,"1,2",548,MACLEOD,3085
22285,-37.719307,Linaker Dr/Springthorpe Bvd (Macleod),145.06251,"1,2",548,MACLEOD,3085
22286,-37.719595,Linaker Dr/Springthorpe Bvd (Macleod),145.062526,"1,2",548,MACLEOD,3085
22287,-37.721491,Grand Ave/Springthorpe Bvd (Macleod),145.061603,"1,2",548,MACLEOD,3085
22288,-37.721703,Grand Ave/Springthorpe Bvd (Macleod),145.061347,"1,2",548,MACLEOD,3085
22289,-37.724813,Cherry St/Waiora Rd (Macleod),145.061402,"1,2",548,MACLEOD,3085
22290,-37.72492,Cherry St/Waiora Rd (Macleod),145.061332,"1,2",548,MACLEOD,3085
234,-37.716705,Dunvegan Cres/Vincent St (Macleod),145.070905,2,561,MACLEOD,3085
44939,-37.728869,Charles La Trobe P-12 College/Waiora Rd (Heidelberg Heights),145.0609,"1,2",548,MACLEOD,3085
46063,-37.728199,Carwarp St/Erskine Rd (Macleod),145.072264,,513,MACLEOD,3085
616,-37.72075,Highview Cres/Wungan St (Macleod),145.070278,2,561,MACLEOD,3085
617,-37.718555,Nicholls St/Wungan St (Macleod),145.074363,2,561,MACLEOD,3085
618,-37.716932,Wungan St/Dunvegan Cres (Macleod),145.07597,2,561,MACLEOD,3085
619,-37.726129,Macleod Railway Station/McNamara St (Macleod),145.067994,2,561,MACLEOD,3085
620,-37.727946,Jacka St/Macleod Pde (Macleod),145.065076,2,561,MACLEOD,3085
621,-37.729647,Ruthven St/Macleod Pde (Macleod),145.06274,2,561,MACLEOD,3085
46421,-37.728434,Charles La Trobe P-12 College/Waiora Rd (Macleod),145.060763,"1,2",548,MACLEOD,3085
46480,-37.728232,Carwarp St/Erskine Rd (Macleod),145.072036,,513,MACLEOD,3085
45917,-37.72929,Charles La Trobe P-12 College/Kingsbury Dr (Macleod),145.05913,"1,2","561,548",MACLEOD,3085
47342,-37.7297,Braid Hill Rd/Erskine Rd (Macleod),145.076979,,513,MACLEOD,3085
47352,-37.729763,Braid Hill Rd/Erskine Rd (Macleod),145.076399,,513,MACLEOD,3085
10965,-37.749174,Liberty Pde/Bell St (Heidelberg West),145.037012,1,513,HEIDELBERG WEST,3081
10966,-37.749914,The Mall SC/Bell St (Heidelberg West),145.041964,"1,2",513,HEIDELBERG WEST,3081
10967,-37.750762,Melbourne Polytechnic/Bell St (Heidelberg West),145.04529,"1,2","903,513",HEIDELBERG WEST,3081
142,-37.73709,Pacific Dr/Ramu Pde (Heidelberg West),145.039226,"1,2",550,HEIDELBERG WEST,3081
144,-37.739251,Catalina St/Ramu Pde (Heidelberg West),145.038613,"1,2",550,HEIDELBERG WEST,3081
147,-37.739546,Liberty Pde/Morobe St (Heidelberg West),145.036847,"1,2",550,HEIDELBERG WEST,3081
1491,-37.741639,Oriel Rd/Southern Rd (Heidelberg West),145.04343,"1,2",517,HEIDELBERG WEST,3081
1935,-37.741419,Midway St/Southern Rd (Heidelberg West),145.039952,"1,2","549,903,517",HEIDELBERG WEST,3081
56,-37.735815,Alamein Rd/Ramu Pde (Heidelberg West),145.041677,"1,2",550,HEIDELBERG WEST,3081
7,-37.736511,Timor Pde/Ramu Pde (Heidelberg West),145.04723,"1,2",550,HEIDELBERG WEST,3081
53,-37.739458,Larissa St/Morobe St (Heidelberg West),145.037518,"1,2",550,HEIDELBERG WEST,3081
610,-37.741303,Olympic Village SC/Southern Rd (Heidelberg West),145.040568,"1,2","549,903,517",HEIDELBERG WEST,3081
611,-37.741057,Larissa St/Southern Rd (Heidelberg West),145.038271,"1,2","549,903,517",HEIDELBERG WEST,3081
720,-37.749213,The Mall/Oriel Rd (Heidelberg West),145.041506,"1,2","350,549,903,250",HEIDELBERG WEST,3081
757,-37.743831,Malahang Pde/Oriel Rd (Heidelberg West),145.042487,"1,2","350,549,903,250",HEIDELBERG WEST,3081
758,-37.742232,Malahang Reserve/Oriel Rd (Heidelberg West),145.042802,"1,2","350,549,903,250",HEIDELBERG WEST,3081
759,-37.739985,Morobe St/Oriel Rd (Heidelberg West),145.043179,"1,2","350,250",HEIDELBERG WEST,3081
761,-37.73662,Ramu Pde/Oriel Rd (Heidelberg West),145.044561,"1,2","350,250",HEIDELBERG WEST,3081
301,-37.734086,Kolora Rd/Dougharty Rd (Heidelberg West),145.046114,"1,2","350,250",HEIDELBERG WEST,3081
303,-37.738838,Pacific Dr/Oriel Rd (Heidelberg West),145.043583,"1,2","350,250",HEIDELBERG WEST,3081
305,-37.743703,Malahang Pde/Oriel Rd (Heidelberg West),145.042377,"1,2","350,549,903,250",HEIDELBERG WEST,3081
306,-37.745805,Redwood St/Oriel Rd (Heidelberg West),145.041981,"1,2","350,549,903,250",HEIDELBERG WEST,3081
59,-37.735833,Ramu Pde/Waterdale Rd (Heidelberg West),145.048769,"1,2","551,550",HEIDELBERG WEST,3081
54,-37.738987,Catalina St/Ramu Pde (Heidelberg West),145.038416,"1,2",550,HEIDELBERG WEST,3081
55,-37.737157,Pacific Dr/Ramu Pde (Heidelberg West),145.038964,"1,2",550,HEIDELBERG WEST,3081
393,-37.748303,The Mall/Oriel Rd (Heidelberg West),145.041518,"1,2","350,549,903,250",HEIDELBERG WEST,3081
57,-37.736344,Kanimbla Ct/Ramu Pde (Heidelberg West),145.046951,"1,2",550,HEIDELBERG WEST,3081
58,-37.73614,Oriel Rd/Ramu Pde (Heidelberg West),145.044971,"1,2",550,HEIDELBERG WEST,3081
747,-37.738877,Outhwaite Rd/Oriel Rd (Heidelberg West),145.043718,"1,2","350,250",HEIDELBERG WEST,3081
749,-37.734138,Kolora Rd/Dougharty Rd (Heidelberg West),145.045432,"1,2","350,250",HEIDELBERG WEST,3081
763,-37.73449,Waterdale Rd/Dougharty Rd (Heidelberg West),145.048747,"1,2","350,250",HEIDELBERG WEST,3081
77,-37.744281,Bonar St/Waterdale Rd (Heidelberg Heights),145.047378,"1,2",548,HEIDELBERG WEST,3081
396,-37.742292,Southern Rd/Oriel Rd (Heidelberg West),145.04263,"1,2","350,549,903,250",HEIDELBERG WEST,3081
