commuter_capacity,station_name,suburb,postcode
182,Keilor Plains,St Albans,3021
186,Keilor Plains,St Albans,3021
30,Keilor Plains,St Albans,3021
18,Gowrie,Glenroy,3046
34,Gowrie,Fawkner,3060
26,Gowrie,Glenroy,3046
20,Broadmeadows,Broadmeadows,3047
40,Broadmeadows,Broadmeadows,3047
150,Broadmeadows,Broadmeadows,3047
307,Glenroy,Glenroy,3046
136,Glenroy,Glenroy,3046
53,Glenroy,Glenroy,3046
106,Glenroy,Glenroy,3046
16,Glenroy,Glenroy,3046
36,Oak Park,Oak Park,3046
40,Gowrie,Glenroy,3046
82,Merlynston,Coburg North,3058
32,Pascoe Vale,Pascoe Vale,3044
37,Pascoe Vale,Pascoe Vale,3044
53,Pascoe Vale,Pascoe Vale,3044
28,Strathmore,Essendon,3040
18,Strathmore,Essendon,3040
26,Strathmore,Essendon,3040
27,Strathmore,Essendon,3040
28,Glenbervie,Essendon,3040
35,Glenbervie,Essendon,3040
220,Essendon,Essendon,3040
229,Craigieburn,Essendon,3040
55,Essendon,Essendon,3040
0,Essendon,Moonee Ponds,3039
7,Brunswick,Brunswick,3056
36,Jewell,Brunswick,3056
19,Moonee Ponds,Moonee Ponds,3039
88,Moonee Ponds,Moonee Ponds,3039
37,Ivanhoe,Ivanhoe,3079
26,Eaglemont,Eaglemont,3084
16,Eaglemont,Eaglemont,3084
26,Darebin,Ivanhoe,3079
345,Hawkstowe,South Morang,3752
39,Hawkstowe,South Morang,3752
12,Footscray,Footscray,3011
81,Heatherdale,Mitcham,3132
186,Mernda,Mernda,3754
550,Mernda,Mernda,3754
251,Mernda,Mernda,3754
17,South Morang,South Morang,3752
458,South Morang,South Morang,3752
549,Middle Gorge,South Morang,3752
434,South Morang,South Morang,3752
160,Epping,Epping,3076
58,Epping,Epping,3076
35,Epping,Epping,3076
10,Epping,Epping,3076
9,Footscray,Footscray,3011
238,,Rockbank,3335
69,Heatherdale,Ringwood,3134
223,Lalor,Lalor,3075
194,Lalor,Lalor,3075
116,Hurstbridge,Hurstbridge,3099
0,Hurstbridge,Hurstbridge,3099
80,Hurstbridge,Hurstbridge,3099
70,Hurstbridge,Hurstbridge,3099
53,Wattle Glen,Wattle Glen,3096
30,Diamond Creek,Diamond Creek,3089
4,Sth Kensington,West Melbourne,3003
1,Sth Kensington,West Melbourne,3003
1,Sth Kensington,West Melbourne,3003
2,North Melbourne Siding,West Melbourne,3003
2,North Melbourne Siding,West Melbourne,3003
18,North Melbourne Siding,West Melbourne,3003
52,North Melbourne Siding,West Melbourne,3003
140,Footscray,Footscray,3011
36,Tottenham,West Footscray,3012
4,Tottenham,West Footscray,3012
197,Tottenham,West Footscray,3012
23,West Footscray,Footscray,3011
132,West Footscray,Footscray,3011
229,West Footscray,West Footscray,3012
26,West Footscray,Footscray,3011
312,St Albans,St Albans,3021
232,St Albans,St Albans,3021
6,St Albans,St Albans,3021
340,Ginifer,St Albans,3021
