suburb,emission
Alphington,100.00
Altona North,100.00
Bendigo,100.00
Box Hill,100.00
Bright,100.00
Brighton,100.00
Brooklyn,100.00
Churchill,100.00
Dandenong,100.00
Footscray,100.00
Geelong South,100.00
Hastings,100.00
Kingsville,100.00
Macleod,100.00
Melbourne CBD,100.00
Melton,100.00
Mildura,100.00
Moe,100.00
Mooroolbark,100.00
Morwell East,100.00
Morwell South,100.00
Point Cook,100.00
Rosedale,100.00
Spotswood,100.00
Stawell,100.00
Swan Hill,100.00
Traralgon,100.00
Wangaratta,100.00
Yinnar,100.00
